t,x,y,z,vx,vy,vz,wx,wy,wz,event
0.052000,-0.863454,0.000000,1.148319,5.793148,0.000000,1.401267,0.000000,120.000000,0.000000,0
0.053000,-0.857663,0.000000,1.149714,5.789336,0.000000,1.390004,0.000000,120.000000,0.000000,0
0.054000,-0.851876,0.000000,1.151099,5.785529,0.000000,1.378751,0.000000,120.000000,0.000000,0
0.055000,-0.846092,0.000000,1.152472,5.781729,0.000000,1.367506,0.000000,120.000000,0.000000,0
0.056000,-0.840312,0.000000,1.153834,5.777934,0.000000,1.356271,0.000000,120.000000,0.000000,0
0.057000,-0.834536,0.000000,1.155184,5.774144,0.000000,1.345044,0.000000,120.000000,0.000000,0
0.058000,-0.828764,0.000000,1.156524,5.770361,0.000000,1.333826,0.000000,120.000000,0.000000,0
0.059000,-0.822995,0.000000,1.157852,5.766583,0.000000,1.322617,0.000000,120.000000,0.000000,0
0.060000,-0.817231,0.000000,1.159169,5.762811,0.000000,1.311417,0.000000,120.000000,0.000000,0
0.061000,-0.811470,0.000000,1.160475,5.759044,0.000000,1.300225,0.000000,120.000000,0.000000,0
0.062000,-0.805713,0.000000,1.161769,5.755283,0.000000,1.289043,0.000000,120.000000,0.000000,0
0.063000,-0.799959,0.000000,1.163053,5.751527,0.000000,1.277869,0.000000,120.000000,0.000000,0
0.064000,-0.794209,0.000000,1.164325,5.747777,0.000000,1.266704,0.000000,120.000000,0.000000,0
0.065000,-0.788464,0.000000,1.165586,5.744033,0.000000,1.255547,0.000000,120.000000,0.000000,0
0.066000,-0.782721,0.000000,1.166836,5.740294,0.000000,1.244399,0.000000,120.000000,0.000000,0
0.067000,-0.776983,0.000000,1.168075,5.736561,0.000000,1.233260,0.000000,120.000000,0.000000,0
0.068000,-0.771248,0.000000,1.169303,5.732833,0.000000,1.222130,0.000000,120.000000,0.000000,0
0.069000,-0.765517,0.000000,1.170519,5.729110,0.000000,1.211008,0.000000,120.000000,0.000000,0
