t,x,y,z,vx,vy,vz,wx,wy,wz,event
0.005000,-1.096000,0.000000,0.299877,-0.000008,0.000000,-0.049050,0.000000,80.000000,0.000000,0
0.005100,-1.096000,0.000000,0.299872,-0.000008,0.000000,-0.050031,0.000000,80.000000,0.000000,0
0.005200,-1.096000,0.000000,0.299867,-0.000008,0.000000,-0.051012,0.000000,80.000000,0.000000,0
0.005300,-1.096000,0.000000,0.299862,-0.000008,0.000000,-0.051992,0.000000,80.000000,0.000000,0
0.005400,-1.096000,0.000000,0.299857,-0.000009,0.000000,-0.052973,0.000000,80.000000,0.000000,0
0.005500,-1.096000,0.000000,0.299852,-0.000009,0.000000,-0.053954,0.000000,80.000000,0.000000,0
0.005600,-1.096000,0.000000,0.299846,-0.000009,0.000000,-0.054935,0.000000,80.000000,0.000000,0
0.005700,-1.096000,0.000000,0.299841,-0.000010,0.000000,-0.055916,0.000000,80.000000,0.000000,0
0.005800,-1.096000,0.000000,0.299835,-0.000010,0.000000,-0.056897,0.000000,80.000000,0.000000,0
0.005900,-1.096000,0.000000,0.299829,-0.000010,0.000000,-0.057878,0.000000,80.000000,0.000000,0
0.006000,-1.096000,0.000000,0.299823,-0.000011,0.000000,-0.058859,0.000000,80.000000,0.000000,0
0.006100,-1.096000,0.000000,0.299817,-0.000011,0.000000,-0.059840,0.000000,80.000000,0.000000,0
0.006200,-1.096000,0.000000,0.299811,-0.000012,0.000000,-0.060821,0.000000,80.000000,0.000000,0
0.006300,-1.096000,0.000000,0.299805,-0.000012,0.000000,-0.061802,0.000000,80.000000,0.000000,0
0.006400,-1.096000,0.000000,0.299799,-0.000012,0.000000,-0.062783,0.000000,80.000000,0.000000,0
0.006500,-1.096000,0.000000,0.299793,-0.000013,0.000000,-0.063764,0.000000,80.000000,0.000000,0
0.006600,-1.096000,0.000000,0.299786,-0.000013,0.000000,-0.064745,0.000000,80.000000,0.000000,0
0.006700,-1.096000,0.000000,0.299780,-0.000014,0.000000,-0.065726,0.000000,80.000000,0.000000,0
0.006800,-1.096000,0.000000,0.299773,-0.000014,0.000000,-0.066707,0.000000,80.000000,0.000000,0
0.006900,-1.096000,0.000000,0.299766,-0.000014,0.000000,-0.067688,0.000000,80.000000,0.000000,0
0.007000,-1.096000,0.000000,0.299760,-0.000015,0.000000,-0.068669,0.000000,80.000000,0.000000,0
0.007100,-1.096000,0.000000,0.299753,-0.000015,0.000000,-0.069650,0.000000,80.000000,0.000000,0
0.007200,-1.096000,0.000000,0.299746,-0.000016,0.000000,-0.070631,0.000000,80.000000,0.000000,0
0.007300,-1.096000,0.000000,0.299739,-0.000016,0.000000,-0.071612,0.000000,80.000000,0.000000,0
0.007400,-1.096000,0.000000,0.299731,-0.000017,0.000000,-0.072593,0.000000,80.000000,0.000000,0
0.007500,-1.096000,0.000000,0.299724,-0.000017,0.000000,-0.073574,0.000000,80.000000,0.000000,0
0.007600,-1.096000,0.000000,0.299717,-0.000017,0.000000,-0.074554,0.000000,80.000000,0.000000,0
0.007700,-1.096000,0.000000,0.299709,-0.000018,0.000000,-0.075535,0.000000,80.000000,0.000000,0
0.007800,-1.096000,0.000000,0.299702,-0.000018,0.000000,-0.076516,0.000000,80.000000,0.000000,0
0.007900,-1.096000,0.000000,0.299694,-0.000019,0.000000,-0.077497,0.000000,80.000000,0.000000,0
0.008000,-1.096000,0.000000,0.299686,-0.000019,0.000000,-0.078478,0.000000,80.000000,0.000000,0
0.008100,-1.096000,0.000000,0.299678,-0.000020,0.000000,-0.079459,0.000000,80.000000,0.000000,0
0.008200,-1.096000,0.000000,0.299670,-0.000020,0.000000,-0.080440,0.000000,80.000000,0.000000,0
0.008300,-1.096000,0.000000,0.299662,-0.000021,0.000000,-0.081421,0.000000,80.000000,0.000000,0
0.008400,-1.096000,0.000000,0.299654,-0.000021,0.000000,-0.082402,0.000000,80.000000,0.000000,0
0.008500,-1.096000,0.000000,0.299646,-0.000022,0.000000,-0.083383,0.000000,80.000000,0.000000,0
0.008600,-1.096000,0.000000,0.299637,-0.000022,0.000000,-0.084364,0.000000,80.000000,0.000000,0
0.008700,-1.096000,0.000000,0.299629,-0.000023,0.000000,-0.085345,0.000000,80.000000,0.000000,0
0.008800,-1.096000,0.000000,0.299620,-0.000023,0.000000,-0.086326,0.000000,80.000000,0.000000,0
0.008900,-1.096000,0.000000,0.299611,-0.000024,0.000000,-0.087307,0.000000,80.000000,0.000000,0
0.009000,-1.096000,0.000000,0.299603,-0.000024,0.000000,-0.088287,0.000000,80.000000,0.000000,0
0.009100,-1.096000,0.000000,0.299594,-0.000025,0.000000,-0.089268,0.000000,80.000000,0.000000,0
